country,standardized,code
malta,malta,MLT
marshall islands,marshall islands,MHL
martinique,martinique,MTQ
mauritania,mauritania,MRT
mauritius,mauritius,MUS
mayotte,,
medium human development,,
mexico,mexico,MEX
micronesia (federated states of),micronesia,FSM
"micronesia, fed. sts.",micronesia,FSM
middle east & north africa,,
middle east & north africa (excluding high income),,
middle east & north africa (ida & ibrd countries),,
middle income,,
moldova,moldova,MDA
moldova (republic of),moldova,MDA
monaco,monaco,MCO
mongolia,mongolia,MNG
montenegro,montenegro,MNE
morocco,morocco,MAR
mozambique,mozambique,MOZ
myanmar,myanmar,MMR
namibia,namibia,NAM
nauru,nauru,NRU
nepal,nepal,NPL
netherlands,netherlands,NLD
new caledonia,,
new zealand,new zealand,NZL
nicaragua,nicaragua,NIC
niger,niger,NER
nigeria,nigeria,NGA
north america,,
north korea,north korea,PRK
north macedonia,north macedonia,MKD
northern mariana islands,,
norway,norway,NOR
not classified,,
oecd members,,
oman,oman,OMN
other small states,,
pacific island small states,,
pakistan,pakistan,PAK
palau,palau,PLW
palestine,,
"palestine, state of",,
panama,panama,PAN
papua new guinea,papua new guinea,PNG
paraguay,paraguay,PRY
peru,peru,PER
philippines,philippines,PHL
poland,poland,POL
portugal,portugal,PRT
post-demographic dividend,,
pre-demographic dividend,,
puerto rico,puerto rico,PRI
qatar,qatar,QAT
republic of congo,congo ,COG
reunion,,
romania,romania,ROU
russia,russia,RUS
russian federation,russia,RUS
rwanda,rwanda,RWA
saint kitts and nevis,saint kitts and nevis,KNA
saint lucia,saint lucia,LCA
saint vincent and the grenadines,saint vincent and the grenadines,VCT
saint-martin,saint martin,MAF
samoa,samoa,WSM
san marino,san marino,SMR
sao tome and principe,sao tome and principe,STP
saudi arabia,saudi arabia,SAU
senegal,senegal,SEN
serbia,serbia,SRB
seychelles,seychelles,SYC
sierra leone,sierra leone,SLE
singapore,singapore,SGP
sint maarten,saint martin,SXM
sint maarten (dutch part),saint martin,SXM
slovak republic,slovakia,SVK
slovakia,slovakia,SVK
slovenia,slovenia,SVK
small states,,
solomon islands,solomon islands,SLB
somalia,somalia,SOM
south africa,,
south asia,,
south asia (ida & ibrd),,
south korea,south korea,KOR
south sudan,south sudan,SSD
spain,spain,ESP
sri lanka,sri lanka,LKA
st. kitts and nevis,saint kitts and nevis,KNA
st. lucia,saint lucia,LCA
st. martin (french part),saint martin,MAF
st. vincent and the grenadines,saint vincent and the grenadines,VCT
sub-saharan africa,,
sub-saharan africa (excluding high income),,
sub-saharan africa (ida & ibrd countries),,
sudan,sudan,SDN
suriname,suriname,SUR
sweden,sweden,SWE
switzerland,switzerland,CHE
syria,syria,SYR
syrian arab republic,syria,SYR
taiwan,taiwan,TWN
tajikistan,tajikistan,TJK
tanzania,tanzania,TZA
tanzania (united republic of),tanzania,TZA
thailand,thailand,THA
timor-leste,timor leste ,TLS
togo,togo,TGO
tonga,tonga,TON
trinidad and tobago,trinidad and tobago,TTO
tunisia,tunisia,TUN
turkey,turkey,TUR
turkiye,turkey,TUR
turkmenistan,turkmenistan,TKM
turks and caicos islands,turks and caicos islands,TCA
tuvalu,tuvalu,TUV
türkiye,turkey,TUR
uganda,uganda,UGA
ukraine,ukraine,UKR
united arab emirates,united arab emirates,ARE
united kingdom,united kingdom,GBR
united states,united states,USA
upper middle income,,
uruguay,uruguay,URY
uzbekistan,uzbekistan,UZB
vanuatu,vanuatu,VUT
venezuela,venezuela,VEN
venezuela (bolivarian republic of),venezuela,VEN
"venezuela, rb",venezuela,VEN
viet nam,vietnam,VNM
vietnam,vietnam,VNM
virgin islands (u.s.),,
west bank and gaza,,
world,,
yemen,yemen,YEM
"yemen, rep.",yemen,YEM
zambia,zambia,ZMB
zimbabwe,zimbabwe,ZWE
